method,avg_served,avg_queues,switch_rate,avg_reward,queue_std,throughput_stability,evaluation_time,total_steps,baseline_type,model_path,vs_fixed_avg_served_improvement,vs_fixed_avg_reward_improvement,vs_fixed_avg_queues_improvement,vs_fixed_switch_rate_improvement,vs_fixed_queue_std_improvement,vs_fixed_throughput_stability_improvement,vs_variable_avg_served_improvement,vs_variable_avg_reward_improvement,vs_variable_avg_queues_improvement,vs_variable_switch_rate_improvement,vs_variable_queue_std_improvement,vs_variable_throughput_stability_improvement
Baseline Fijo (Flujo Fijo),4.6,6.266666666666667,0.4,-0.28438252785298473,3.2448249396367888,1.7625738755203049,0.15981054306030273,30,fixed_flow,,,,,,,,,,,,,
Baseline Fijo (Flujo Variable),4.2,6.6,0.5,-0.3379722020707342,3.3823069050575527,1.4,1.7202534675598145,30,variable_flow,,,,,,,,,,,,,
PPO (ppo_production_100k),5.033333333333333,2.066666666666667,1.0,-0.039080792387323544,0.7272474743090477,1.1396880664852505,0.34017276763916016,30,,models\ppo_production_100k.zip,9.42028985507247,86.2576675570143,67.02127659574467,-149.99999999999997,77.58746657098695,35.33955754627198,19.841269841269835,88.43668439360457,68.68686868686868,-100.0,78.4984776744654,18.59370953676782
PPO (ppo_ultimate_100k_optimized),5.033333333333333,2.066666666666667,1.0,-0.039080792387323544,0.7272474743090477,1.1396880664852505,0.22008514404296875,30,,models\ppo_ultimate_100k_optimized.zip,9.42028985507247,86.2576675570143,67.02127659574467,-149.99999999999997,77.58746657098695,35.33955754627198,19.841269841269835,88.43668439360457,68.68686868686868,-100.0,78.4984776744654,18.59370953676782
